Data logger for tempereture and humidity.
Code, design, and soldering by Antti Mikkonen, a.mikkonen@iki.fi, 2019.
Based on open source projects and libraries. See source for details.
/home/ami/src/arduino/promini/logger_v8_ada/logger_v8_ada.ino
UTC time (year/month/date hour:minute:second), T RTC (C), T sht31 (C), T si7021 (C), RH sht31 (-), RH si7021 (-), heaterOn sht31 (bool),  heaterOn si7021 (bool), battery voltage (V)
2019/04/25 00:08:00, 24.00, 23.90, 23.73, 20.12, 18.20, 0, 0, 4.49
2019/04/25 00:09:00, 24.00, 23.87, 23.73, 20.10, 18.19, 0, 0, 4.49
2019/04/25 00:10:00, 24.00, 23.91, 23.72, 20.10, 18.19, 0, 0, 4.49
2019/04/25 00:11:00, 24.00, 23.88, 23.71, 20.15, 18.21, 0, 0, 4.49
2019/04/25 00:12:00, 24.00, 23.88, 23.71, 20.15, 18.22, 0, 0, 4.49
2019/04/25 00:13:00, 24.00, 23.88, 23.69, 20.13, 18.22, 0, 0, 4.49
2019/04/25 00:14:00, 24.00, 23.90, 23.72, 20.12, 18.22, 0, 0, 4.49
2019/04/25 00:15:00, 24.00, 23.90, 23.72, 20.16, 18.22, 0, 0, 4.49
2019/04/25 00:16:00, 24.00, 23.90, 23.73, 20.13, 18.22, 0, 0, 4.49
2019/04/25 00:17:00, 24.00, 23.90, 23.72, 20.13, 18.23, 0, 0, 4.49
2019/04/25 00:18:00, 24.00, 23.90, 23.71, 20.13, 18.23, 0, 0, 4.49
2019/04/25 00:19:00, 24.00, 23.88, 23.69, 20.16, 18.23, 0, 0, 4.49
2019/04/25 00:20:00, 24.00, 23.90, 23.73, 20.16, 18.24, 0, 0, 4.49
2019/04/25 00:21:00, 24.00, 23.91, 23.73, 20.15, 18.23, 0, 0, 4.49
2019/04/25 00:22:00, 24.00, 23.88, 23.69, 20.18, 18.21, 0, 0, 4.49
2019/04/25 00:23:00, 24.00, 23.88, 23.68, 20.15, 18.23, 0, 0, 4.49
