Data logger for tempereture and humidity.
Code, design, and soldering by Antti Mikkonen, a.mikkonen@iki.fi, 2019.
Based on open source projects and libraries. See source for details.
/home/ami/src/arduino/promini/logger_v8_ada/logger_v8_ada.ino
UTC time (year/month/date hour:minute:second), T RTC (C), T sht31 (C), T si7021 (C), RH sht31 (-), RH si7021 (-), heaterOn sht31 (bool),  heaterOn si7021 (bool), battery voltage (V)
2019/04/18 00:08:00, 23.50, 23.56, 23.35, 17.63, 15.73, 0, 0, 4.61
2019/04/18 00:09:00, 23.50, 23.53, 23.34, 17.68, 15.72, 0, 0, 4.61
2019/04/18 00:10:00, 23.50, 23.54, 23.36, 17.66, 15.71, 0, 0, 4.61
2019/04/18 00:11:00, 23.50, 23.53, 23.35, 17.65, 15.70, 0, 0, 4.61
2019/04/18 00:12:00, 23.50, 23.53, 23.33, 17.66, 15.71, 0, 0, 4.61
2019/04/18 00:13:00, 23.50, 23.53, 23.33, 17.68, 15.72, 0, 0, 4.61
2019/04/18 00:14:00, 23.50, 23.52, 23.32, 17.66, 15.72, 0, 0, 4.61
2019/04/18 00:15:00, 23.50, 23.52, 23.35, 17.65, 15.71, 0, 0, 4.61
2019/04/18 00:16:00, 23.50, 23.52, 23.32, 17.68, 15.71, 0, 0, 4.61
2019/04/18 00:17:00, 23.50, 23.53, 23.34, 17.66, 15.69, 0, 0, 4.61
2019/04/18 00:18:00, 23.50, 23.52, 23.34, 17.66, 15.70, 0, 0, 4.61
2019/04/18 00:19:00, 23.50, 23.53, 23.34, 17.63, 15.71, 0, 0, 4.61
2019/04/18 00:20:00, 23.50, 23.50, 23.33, 17.68, 15.69, 0, 0, 4.61
2019/04/18 00:21:00, 23.50, 23.50, 23.32, 17.65, 15.68, 0, 0, 4.61
2019/04/18 00:22:00, 23.50, 23.52, 23.34, 17.68, 15.67, 0, 0, 4.61
2019/04/18 00:23:00, 23.50, 23.52, 23.34, 17.65, 15.68, 0, 0, 4.61
2019/04/18 00:24:00, 23.50, 23.50, 23.32, 17.63, 15.69, 0, 0, 4.61
2019/04/18 00:25:00, 23.50, 23.53, 23.32, 17.66, 15.69, 0, 0, 4.61
2019/04/18 00:26:00, 23.50, 23.50, 23.32, 17.66, 15.68, 0, 0, 4.61
2019/04/18 00:27:00, 23.50, 23.50, 23.32, 17.65, 15.65, 0, 0, 4.61
2019/04/18 00:28:00, 23.50, 23.50, 23.32, 17.58, 15.63, 0, 0, 4.61
2019/04/18 00:29:00, 23.50, 23.52, 23.32, 17.55, 15.65, 0, 0, 4.61
2019/04/18 00:30:00, 23.50, 23.49, 23.32, 17.64, 15.65, 0, 0, 4.61
2019/04/18 00:31:00, 23.50, 23.52, 23.32, 17.61, 15.64, 0, 0, 4.61
2019/04/18 00:32:00, 23.50, 23.52, 23.32, 17.60, 15.64, 0, 0, 4.61
2019/04/18 00:33:00, 23.50, 23.50, 23.32, 17.60, 15.63, 0, 0, 4.61
2019/04/18 00:34:00, 23.50, 23.52, 23.32, 17.60, 15.62, 0, 0, 4.61
2019/04/18 00:35:00, 23.50, 23.50, 23.32, 17.60, 15.63, 0, 0, 4.61
2019/04/18 00:36:00, 23.50, 23.50, 23.33, 17.60, 15.62, 0, 0, 4.61
2019/04/18 00:37:00, 23.50, 23.50, 23.33, 17.58, 15.60, 0, 0, 4.61
2019/04/18 00:38:00, 23.50, 23.50, 23.32, 17.56, 15.62, 0, 0, 4.61
2019/04/18 00:39:00, 23.50, 23.49, 23.32, 17.60, 15.62, 0, 0, 4.61
2019/04/18 00:40:00, 23.50, 23.49, 23.32, 17.60, 15.61, 0, 0, 4.61
2019/04/18 00:41:00, 23.50, 23.52, 23.32, 17.58, 15.62, 0, 0, 4.61
2019/04/18 00:42:00, 23.50, 23.50, 23.32, 17.58, 15.60, 0, 0, 4.61
2019/04/18 00:43:00, 23.50, 23.52, 23.32, 17.58, 15.59, 0, 0, 4.61
2019/04/18 00:44:00, 23.50, 23.52, 23.32, 17.55, 15.58, 0, 0, 4.61
2019/04/18 00:45:00, 23.50, 23.52, 23.33, 17.58, 15.56, 0, 0, 4.61
2019/04/18 00:46:00, 23.50, 23.52, 23.33, 17.55, 15.55, 0, 0, 4.61
2019/04/18 00:47:00, 23.50, 23.50, 23.33, 17.53, 15.59, 0, 0, 4.61
2019/04/18 00:48:00, 23.50, 23.52, 23.32, 17.55, 15.58, 0, 0, 4.61
2019/04/18 00:49:00, 23.50, 23.50, 23.33, 17.55, 15.56, 0, 0, 4.61
2019/04/18 00:50:00, 23.50, 23.50, 23.31, 17.55, 15.56, 0, 0, 4.61
2019/04/18 00:51:00, 23.50, 23.52, 23.32, 17.48, 15.55, 0, 0, 4.61
2019/04/18 00:52:00, 23.50, 23.49, 23.32, 17.55, 15.55, 0, 0, 4.61
2019/04/18 00:53:00, 23.50, 23.50, 23.29, 17.53, 15.53, 0, 0, 4.61
2019/04/18 00:54:00, 23.50, 23.50, 23.32, 17.50, 15.54, 0, 0, 4.61
2019/04/18 00:55:00, 23.50, 23.49, 23.32, 17.50, 15.53, 0, 0, 4.61
2019/04/18 00:56:00, 23.50, 23.52, 23.31, 17.47, 15.52, 0, 0, 4.61
2019/04/18 00:57:00, 23.50, 23.52, 23.32, 17.47, 15.52, 0, 0, 4.61
2019/04/18 00:58:00, 23.50, 23.50, 23.30, 17.45, 15.53, 0, 0, 4.61
2019/04/18 00:59:00, 23.50, 23.52, 23.32, 17.48, 15.52, 0, 0, 4.61
2019/04/18 01:00:00, 23.50, 23.50, 23.32, 17.48, 15.52, 0, 0, 4.61
2019/04/18 01:01:00, 23.50, 23.52, 23.32, 17.47, 15.53, 0, 0, 4.61
2019/04/18 01:02:00, 23.50, 23.50, 23.32, 17.47, 15.49, 0, 0, 4.61
2019/04/18 01:03:00, 23.50, 23.50, 23.32, 17.53, 15.48, 0, 0, 4.61
2019/04/18 01:04:00, 23.50, 23.53, 23.32, 17.43, 15.48, 0, 0, 4.61
2019/04/18 01:05:00, 23.50, 23.52, 23.31, 17.43, 15.46, 0, 0, 4.61
2019/04/18 01:06:00, 23.50, 23.52, 23.34, 17.47, 15.47, 0, 0, 4.61
2019/04/18 01:07:00, 23.50, 23.50, 23.31, 17.43, 15.48, 0, 0, 4.61
2019/04/18 01:08:00, 23.50, 23.52, 23.35, 17.45, 15.48, 0, 0, 4.61
2019/04/18 01:09:00, 23.50, 23.49, 23.33, 17.40, 15.46, 0, 0, 4.61
2019/04/18 01:10:00, 23.50, 23.52, 23.31, 17.42, 15.45, 0, 0, 4.61
2019/04/18 01:11:00, 23.50, 23.50, 23.32, 17.45, 15.46, 0, 0, 4.61
2019/04/18 01:12:00, 23.50, 23.50, 23.33, 17.43, 15.47, 0, 0, 4.61
2019/04/18 01:13:00, 23.50, 23.49, 23.33, 17.45, 15.45, 0, 0, 4.61
2019/04/18 01:14:00, 23.50, 23.50, 23.32, 17.42, 15.44, 0, 0, 4.61
2019/04/18 01:15:00, 23.50, 23.50, 23.31, 17.37, 15.43, 0, 0, 4.61
2019/04/18 01:16:00, 23.50, 23.49, 23.30, 17.40, 15.45, 0, 0, 4.61
2019/04/18 01:17:00, 23.50, 23.50, 23.30, 17.47, 15.46, 0, 0, 4.61
2019/04/18 01:18:00, 23.50, 23.49, 23.31, 17.47, 15.46, 0, 0, 4.61
2019/04/18 01:19:00, 23.50, 23.49, 23.31, 17.40, 15.43, 0, 0, 4.61
2019/04/18 01:20:00, 23.50, 23.50, 23.30, 17.39, 15.43, 0, 0, 4.61
2019/04/18 01:21:00, 23.50, 23.47, 23.31, 17.43, 15.45, 0, 0, 4.61
2019/04/18 01:22:00, 23.50, 23.49, 23.30, 17.42, 15.43, 0, 0, 4.61
2019/04/18 01:23:00, 23.50, 23.52, 23.30, 17.42, 15.43, 0, 0, 4.61
2019/04/18 01:24:00, 23.50, 23.47, 23.29, 17.40, 15.43, 0, 0, 4.61
2019/04/18 01:25:00, 23.50, 23.49, 23.29, 17.37, 15.42, 0, 0, 4.61
2019/04/18 01:26:00, 23.50, 23.47, 23.30, 17.38, 15.42, 0, 0, 4.61
2019/04/18 01:27:00, 23.50, 23.47, 23.30, 17.38, 15.40, 0, 0, 4.61
2019/04/18 01:28:00, 23.50, 23.49, 23.28, 17.43, 15.42, 0, 0, 4.61
2019/04/18 01:29:00, 23.50, 23.47, 23.28, 17.42, 15.41, 0, 0, 4.61
