Data logger for tempereture and humidity.
Code, design, and soldering by Antti Mikkonen, a.mikkonen@iki.fi, 2019.
Based on open source projects and libraries. See source for details.
/home/ami/src/arduino/promini/logger_v8_ada/logger_v8_ada.ino
UTC time (year/month/date hour:minute:second), T RTC (C), T sht31 (C), T si7021 (C), RH sht31 (-), RH si7021 (-), heaterOn sht31 (bool),  heaterOn si7021 (bool), battery voltage (V)
2019/04/14 00:10:00, 26.75, 26.87, 26.67, 37.36, 36.16, 0, 0, 4.17
2019/04/14 00:11:00, 26.75, 26.87, 26.64, 37.50, 36.08, 0, 0, 4.17
2019/04/14 00:12:00, 26.75, 26.85, 26.67, 37.09, 35.83, 0, 0, 4.17
2019/04/14 00:13:00, 26.75, 26.85, 26.65, 37.05, 35.81, 0, 0, 4.17
2019/04/14 00:14:00, 26.75, 26.85, 26.65, 36.98, 35.54, 0, 0, 4.17
2019/04/14 00:15:00, 26.75, 26.84, 26.65, 36.56, 35.61, 0, 0, 4.17
2019/04/14 00:16:00, 26.75, 26.85, 26.63, 36.55, 35.37, 0, 0, 4.17
2019/04/14 00:17:00, 26.75, 26.83, 26.65, 36.60, 35.37, 0, 0, 4.17
2019/04/14 00:18:00, 26.75, 26.85, 26.64, 36.30, 35.19, 0, 0, 4.17
2019/04/14 00:19:00, 26.75, 26.83, 26.65, 36.17, 35.11, 0, 0, 4.17
2019/04/14 00:20:00, 26.75, 26.85, 26.63, 35.93, 34.83, 0, 0, 4.17
2019/04/14 00:21:00, 26.75, 26.84, 26.65, 36.13, 35.09, 0, 0, 4.17
2019/04/14 00:22:00, 26.75, 26.84, 26.63, 35.96, 34.88, 0, 0, 4.17
2019/04/14 00:23:00, 26.75, 26.84, 26.64, 35.62, 34.59, 0, 0, 4.17
2019/04/14 00:24:00, 26.75, 26.85, 26.64, 35.97, 34.65, 0, 0, 4.17
2019/04/14 00:25:00, 26.75, 26.83, 26.63, 35.57, 34.50, 0, 0, 4.17
2019/04/14 00:26:00, 26.75, 26.84, 26.63, 35.31, 34.26, 0, 0, 4.17
2019/04/14 00:27:00, 26.75, 26.81, 26.64, 35.61, 34.53, 0, 0, 4.17
2019/04/14 00:28:00, 26.75, 26.83, 26.62, 35.37, 34.34, 0, 0, 4.17
2019/04/14 00:29:00, 26.75, 26.81, 26.62, 35.49, 34.22, 0, 0, 4.17
2019/04/14 00:30:00, 26.75, 26.83, 26.65, 35.60, 34.06, 0, 0, 4.17
2019/04/14 00:31:00, 26.75, 26.87, 26.62, 35.21, 34.09, 0, 0, 4.17
2019/04/14 00:32:00, 26.75, 26.81, 26.61, 35.08, 34.07, 0, 0, 4.17
2019/04/14 00:33:00, 26.75, 26.80, 26.63, 35.31, 33.81, 0, 0, 4.17
2019/04/14 00:34:00, 26.75, 26.80, 26.61, 35.17, 33.80, 0, 0, 4.17
2019/04/14 00:35:00, 26.75, 26.83, 26.61, 35.19, 33.61, 0, 0, 4.17
2019/04/14 00:36:00, 26.75, 26.83, 26.61, 34.99, 33.71, 0, 0, 4.17
2019/04/14 00:37:00, 26.75, 26.81, 26.62, 35.02, 33.64, 0, 0, 4.17
2019/04/14 00:38:00, 26.75, 26.80, 26.61, 34.35, 33.27, 0, 0, 4.17
2019/04/14 00:39:00, 26.75, 26.83, 26.61, 35.04, 33.47, 0, 0, 4.17
2019/04/14 00:40:00, 26.75, 26.81, 26.61, 34.66, 33.31, 0, 0, 4.17
2019/04/14 00:41:00, 26.75, 26.81, 26.59, 34.36, 33.22, 0, 0, 4.17
2019/04/14 00:42:00, 26.75, 26.81, 26.61, 34.81, 33.29, 0, 0, 4.17
2019/04/14 00:43:00, 26.75, 26.81, 26.61, 34.08, 33.22, 0, 0, 4.17
2019/04/14 00:44:00, 26.75, 26.80, 26.61, 34.76, 33.25, 0, 0, 4.17
2019/04/14 00:45:00, 26.75, 26.80, 26.62, 34.37, 32.97, 0, 0, 4.17
2019/04/14 00:46:00, 26.75, 26.81, 26.60, 33.89, 32.84, 0, 0, 4.17
2019/04/14 00:47:00, 26.75, 26.80, 26.59, 34.11, 32.78, 0, 0, 4.17
2019/04/14 00:48:00, 26.75, 26.78, 26.58, 33.62, 32.46, 0, 0, 4.17
2019/04/14 00:49:00, 26.75, 26.80, 26.59, 33.73, 32.59, 0, 0, 4.17
2019/04/14 00:50:00, 26.75, 26.78, 26.60, 33.90, 32.72, 0, 0, 4.17
2019/04/14 00:51:00, 26.75, 26.80, 26.59, 33.78, 32.70, 0, 0, 4.17
2019/04/14 00:52:00, 26.75, 26.80, 26.59, 33.30, 32.37, 0, 0, 4.17
2019/04/14 00:53:00, 26.75, 26.80, 26.58, 33.45, 32.45, 0, 0, 4.17
2019/04/14 00:54:00, 26.75, 26.78, 26.61, 33.84, 32.45, 0, 0, 4.17
2019/04/14 00:55:00, 26.75, 26.76, 26.57, 33.71, 32.38, 0, 0, 4.17
2019/04/14 00:56:00, 26.75, 26.78, 26.61, 33.39, 32.26, 0, 0, 4.17
2019/04/14 00:57:00, 26.75, 26.80, 26.57, 33.13, 32.04, 0, 0, 4.17
2019/04/14 00:58:00, 26.75, 26.80, 26.59, 33.04, 31.99, 0, 0, 4.17
2019/04/14 00:59:00, 26.75, 26.78, 26.57, 33.28, 31.88, 0, 0, 4.17
2019/04/14 01:00:00, 26.75, 26.77, 26.57, 33.41, 31.99, 0, 0, 4.17
2019/04/14 01:01:00, 26.75, 26.76, 26.57, 33.25, 31.80, 0, 0, 4.17
2019/04/14 01:02:00, 26.75, 26.76, 26.57, 33.15, 31.86, 0, 0, 4.17
2019/04/14 01:03:00, 26.75, 26.78, 26.57, 32.81, 31.84, 0, 0, 4.17
2019/04/14 01:04:00, 26.75, 26.77, 26.57, 32.91, 31.78, 0, 0, 4.17
2019/04/14 01:05:00, 26.75, 26.77, 26.56, 32.72, 31.69, 0, 0, 4.17
2019/04/14 01:06:00, 26.75, 26.77, 26.57, 32.62, 31.52, 0, 0, 4.17
2019/04/14 01:07:00, 26.75, 26.77, 26.57, 32.49, 31.32, 0, 0, 4.17
2019/04/14 01:08:00, 26.75, 26.77, 26.55, 32.53, 31.27, 0, 0, 4.17
2019/04/14 01:09:00, 26.75, 26.78, 26.57, 32.70, 31.39, 0, 0, 4.17
2019/04/14 01:10:00, 26.75, 26.78, 26.55, 32.47, 31.34, 0, 0, 4.17
2019/04/14 01:11:00, 26.75, 26.76, 26.55, 32.62, 31.23, 0, 0, 4.17
2019/04/14 01:12:00, 26.75, 26.77, 26.58, 31.99, 30.97, 0, 0, 4.17
2019/04/14 01:13:00, 26.75, 26.76, 26.56, 32.59, 31.11, 0, 0, 4.17
2019/04/14 01:14:00, 26.75, 26.77, 26.54, 32.87, 31.05, 0, 0, 4.17
2019/04/14 01:15:00, 26.75, 26.74, 26.57, 32.13, 31.03, 0, 0, 4.17
2019/04/14 01:16:00, 26.75, 26.74, 26.55, 32.26, 30.96, 0, 0, 4.17
2019/04/14 01:17:00, 26.75, 26.77, 26.57, 31.97, 30.92, 0, 0, 4.17
2019/04/14 01:18:00, 26.75, 26.74, 26.55, 31.91, 30.89, 0, 0, 4.17
